,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
47049380,13011B100,0,ZANDKAPEL,ZANDKAPEL,ZANDKAPEL,TOTAL,TOTAL,9.0,150000.0,205000.0,300000.0,144.0,797.0,852.0
47049387,13011C000,0,MORKHOVEN-KERN,MORKHOVEN-KERN,MORKHOVEN-KERN,VENTEIMMEUB,TOTAL,19.0,175000.0,178750.0,182500.0,134.0,515.0,873.0
47049389,13011C000,0,MORKHOVEN-KERN,MORKHOVEN-KERN,MORKHOVEN-KERN,TOTAL,TOTAL,27.0,175000.0,178750.0,182500.0,274.0,346.0,645.0
47049402,13012A000,0,HERENTHOUT-CENTRUM,HERENTHOUT-CENTRUM,HERENTHOUT-CENTRUM,OTHER,TOTAL,5.0,70000.0,70000.0,70000.0,220.0,477.0,2096.0
47049405,13012A000,0,HERENTHOUT-CENTRUM,HERENTHOUT-CENTRUM,HERENTHOUT-CENTRUM,VENTEIMMEUB,TOTAL,23.0,185000.0,215000.0,275000.0,275.0,455.0,623.0
47049407,13012A000,0,HERENTHOUT-CENTRUM,HERENTHOUT-CENTRUM,HERENTHOUT-CENTRUM,TOTAL,TOTAL,39.0,145000.0,195000.0,265000.0,350.0,485.5,620.0
47049414,13012A01-,0,UILENBERG - HEIKANT,UILENBERG - HEIKANT,UILENBERG - HEIKANT,VENTEIMMEUB,TOTAL,5.0,258000.0,396500.0,535000.0,170.5,468.5,745.0
47049416,13012A01-,0,UILENBERG - HEIKANT,UILENBERG - HEIKANT,UILENBERG - HEIKANT,TOTAL,TOTAL,12.0,150000.0,258000.0,535000.0,276.0,603.0,848.0
47049450,13012A0PV,0,VERSPREID,VERSPREID,VERSPREID,VENTEIMMEUB,TOTAL,6.0,20000.0,25000.0,30000.0,142.0,1391.5,1855.0
47049452,13012A0PV,0,VERSPREID,VERSPREID,VERSPREID,TOTAL,TOTAL,20.0,20000.0,30000.0,142500.0,202.5,1391.5,7504.0
47049459,13013A00-,0,HERSELT-CENTRUM,HERSELT-CENTRUM,HERSELT-CENTRUM,VENTEIMMEUB,TOTAL,6.0,365000.0,365000.0,365000.0,195.0,386.5,511.0
